PRCTL50,PRCTL75,GREATERthanMAX025,SKEWNESS,TIMESLOTS90PRCTL,PRCTL90,DIFF_MAD4,PRCTL25,TIMESLOTS50PRCTL,GREATERthanMAX050,DIFF_PRCTL7,DIFF_MAD3,DIFF_PRCTL6,DIFF_MAD7,DIFF_MAD1,GREATERthanMAX075,ANOMALOUS
0.8199855811692445,0.8661267675900086,0.7219570405727924,0.1368039292714301,0.7311320754716979,0.834915221897294,0.28408291655882084,0.614308976991806,0.2290748898678414,0.3957845433255269,0.5422663962564376,0.287010681382075,0.7796444742908317,0.28375041567795845,0.3006161335783273,0.18518518518518517,0
0.887806633761479,0.7589621840916643,0.7267303102625299,0.16950261828142507,0.8867924528301887,0.6426973715283775,0.10362281428853339,0.9230729853258115,0.5154185022026434,0.3840749414519906,0.4089165465304938,0.3567031902158838,0.49090237488241595,0.10359700614588371,0.32569397778737386,0.2962962962962963,0
0.7752526135321687,0.844202531072656,0.594272076372315,0.14739082697107417,0.9056603773584904,0.77147115093975,0.12130143794466516,0.6495312121674095,0.10132158590308382,0.20608899297423888,0.602156885186925,0.12566868089897695,0.897447444732447,0.012344679531011983,0.05907094635466113,0.16666666666666666,0
0.8070888113933534,0.678379726731382,0.9594272076372314,0.09761547071244638,0.8773584905660377,0.5802123935206112,0.0799436386400125,0.8720795108404849,0.44052863436123335,0.8735362997658079,0.31456595114202157,0.3751303923079934,0.5617812497896866,0.1272018304403567,0.06501404170592161,0.7777777777777778,0
0.7840909449024627,0.8564559016702036,0.7804295942720764,0.05063592383598192,0.7783018867924527,0.8092909489472508,0.01678528344483474,0.699190363880394,0.2290748898678414,0.4637002341920375,0.40536151799401443,0.04888057617988814,0.7957000607892191,0.4811944114750125,0.5085065248888951,0.12962962962962962,0
0.9485029194944219,0.6591392131106393,0.7118138424821002,0.09180258895724239,0.8301886792452828,0.616473484660264,0.05093213619730196,0.8438472437696731,0.537444933920705,0.3583138173302108,0.3402923155276123,0.0,0.5075527178424242,0.016396117360409437,0.19817236190699608,0.16666666666666666,0
0.9653679825004029,0.908936930968969,0.6837708830548926,0.11209550144831106,0.8207547169811318,0.8031776355147349,0.0,0.8716199149261801,0.23348017621145356,0.32552693208430916,0.37436500426849895,0.2929756449777987,0.6100451082436491,0.43248788763012,0.42399633210288395,0.12962962962962962,0
1.0,0.8271394435260968,0.8568019093078759,0.0860262804218859,0.8301886792452828,0.7287850049940112,0.13020539439047593,0.8194314910636624,0.5418502202643172,0.6252927400468383,0.5331028574080583,0.09555798139380996,0.5749146644077534,0.18364790033239575,0.04927448642705254,0.42592592592592593,0
0.8084415753360455,0.7474938718746047,0.5137231503579952,0.11741852942292683,0.7594339622641506,0.6566360444055719,0.07572364824904033,0.7751055202326826,0.36123348017621115,0.15456674473067916,0.6022594007272803,0.42556940467259186,0.8905993531547098,0.0204861824267309,0.07846215236620478,0.0,0
0.8808622305419624,0.710025438277974,0.8210023866348449,0.1489695082428148,0.891509433962264,0.6037651414267904,0.4182079428404981,0.8760798635710083,0.4757709251101323,0.6276346604215456,0.16817693048178217,0.1371743681392886,0.49565653450856395,0.27713350000568543,0.038407389815807144,0.611111111111111,0
